Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
Cre05.g243550	Cre09.g394200_4532.7.p;Cre09.g394200_4532.4.p;Cre09.g394200_4532.3.p;Cre09.g394200_4532.2.p;Cre09.g394200_4532.6.p;Cre09.g394200_4532.5.p;Cre09.g394200_4532.1.p	Cre09.g394200_4532.7.p;Cre09.g394200_4532.4.p;Cre09.g394200_4532.3.p;Cre09.g394200_4532.2.p;Cre09.g394200_4532.6.p;Cre09.g394200_4532.5.p;Cre09.g394200_4532.1.p	13956|0	13956	6978	2	0|0	0.5	1	0.5	1	0.5	-0.21	69780	0	
Cre05.g243550	Cre09.g398900_4532.2.p;Cre09.g398900_4532.1.p	Cre09.g398900_4532.2.p;Cre09.g398900_4532.1.p	27062|12284	39346	19673	2	0|0	1	1	1	1	1	inf	196730	0	
Cre05.g243550	Cre10.g452800_4532.1.p	Cre10.g452800_4532.1.p	7074|5844	12918	6459	2	0|0	1	1	1	1	1	inf	64590	0	
Cre05.g243550	Cre11.g476750_4532.1.p	Cre11.g476750_4532.1.p	56522|0	56522	28261	2	0|0	0.5	1	0.5	1	0.5	-0.21	282610	0	
Cre05.g243550	Cre12.g483700_4532.1.p;Cre12.g483700_4532.3.p;Cre12.g483700_4532.2.p	Cre12.g483700_4532.1.p;Cre12.g483700_4532.3.p;Cre12.g483700_4532.2.p	16614|50196	1274	637	2	0|0	1	1	1	1	1	inf	6370	0	
Cre05.g243550	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	58788|40344	33596	16798	2	49744|0	0	0	0	0	0	#NAME?	0.68	0.4	
Cre05.g243550	Cre13.g592500_4532.1.p	Cre13.g592500_4532.1.p	35724|21824	57548	28774	2	0|0	1	1	1	1	1	inf	287740	0	
Cre05.g243550	CreCp.g802313_4532.1.p	CreCp.g802313_4532.1.p	28370|14700	43070	21535	2	0|0	1	1	1	1	1	inf	215350	0	
Cre05.g243550	Cre12.g498600_4532.1.p;Cre06.g263450_4532.3.p;Cre06.g263450_4532.2.p;Cre06.g263450_4532.1.p	Cre12.g498600_4532.1.p;Cre06.g263450_4532.3.p;Cre06.g263450_4532.2.p;Cre06.g263450_4532.1.p	0|53264	53264	26632	2	0|0	0.5	1	0.5	1	0.5	-0.21	266320	0	
Cre05.g243550	Cre16.g672300_4532.1.p	Cre16.g672300_4532.1.p	0|46140	46140	23070	2	0|0	0.5	1	0.5	1	0.5	-0.21	230700	0	
