Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
Cre03.g175800	Cre09.g388200_4532.1.p	Cre09.g388200_4532.1.p	6|4	10	5.00	2	2|1	0.64	0.88	0.64	0.88	0.64	-0.43	3.33	0.10	
Cre03.g175800	Cre01.g016514_4532.1.p	Cre01.g016514_4532.1.p	1|2	3	1.50	2	2|2	0.00	0.00	0.00	0.00	0.00	-6.35	0.75	0.70	
Cre03.g175800	Cre01.g011000_4532.1.p	Cre01.g011000_4532.1.p	3|2	5	2.50	2	5|5	0.00	0.00	0.00	0.00	0.00	-16.18	0.50	0.70	
Cre03.g175800	CreCp.g802274_4532.1.p	CreCp.g802274_4532.1.p	3|4	7	3.50	2	4|1	0.02	0.03	0.02	0.03	0.02	-5.03	1.40	0.63	
Cre03.g175800	Cre06.g257500_4532.1.p	Cre06.g257500_4532.1.p	2|1	3	1.50	2	4|1	0.00	0.00	0.00	0.00	0.00	-8.21	0.60	0.70	
Cre03.g175800	Cre14.g621450_4532.1.p	Cre14.g621450_4532.1.p	3|0	3	1.50	2	2|0	0.25	0.50	0.25	0.50	0.25	-4.02	1.50	0.50	
Cre03.g175800	Cre06.g285250_4532.1.p	Cre06.g285250_4532.1.p	2|0	2	1.00	2	6|5	0.00	0.00	0.00	0.00	0.00	-23.76	0.18	0.70	
Cre03.g175800	Cre03.g149100_4532.1.p	Cre03.g149100_4532.1.p	5|3	8	4.00	2	1|1	0.69	0.90	0.69	0.90	0.69	-0.08	4.00	0.09	
Cre03.g175800	Cre06.g272800_4532.2.p	Cre06.g272800_4532.2.p	4|2	6	3.00	2	3|1	0.05	0.11	0.05	0.11	0.05	-4.93	1.50	0.58	
Cre03.g175800	Cre09.g393200_4532.1.p	Cre09.g393200_4532.1.p	1|2	3	1.50	2	1|0	0.28	0.57	0.28	0.57	0.28	-1.05	3.00	0.46	
Cre03.g175800	Cre02.g114600_4532.1.p	Cre02.g114600_4532.1.p	2|0	2	1.00	2	1|1	0.10	0.20	0.10	0.20	0.10	-4.26	1.00	0.55	
Cre03.g175800	Cre18.g750047_4532.1.p	Cre18.g750047_4532.1.p	1|1	2	1.00	2	13|6	0.00	0.00	0.00	0.00	0.00	-37.47	0.11	0.70	
Cre03.g175800	Cre06.g275100_4532.2.p	Cre06.g275100_4532.2.p	1|2	3	1.50	2	3|1	0.00	0.00	0.00	0.00	0.00	-6.35	0.75	0.70	
Cre03.g175800	Cre01.g047750_4532.1.p	Cre01.g047750_4532.1.p	5|1	6	3.00	2	3|1	0.16	0.31	0.16	0.31	0.16	-6.35	1.50	0.52	
Cre03.g175800	Cre10.g440050_4532.1.p	Cre10.g440050_4532.1.p	1|1	2	1.00	2	1|2	0.00	0.00	0.00	0.00	0.00	-4.65	0.67	0.70	
Cre03.g175800	CreCp.g802299_4532.1.p	CreCp.g802299_4532.1.p	11|6	17	8.50	2	2|1	0.94	1.00	0.94	1.00	0.94	1.98	5.67	0.01	
Cre03.g175800	Cre02.g116750_4532.2.p	Cre02.g116750_4532.2.p	2|2	4	2.00	2	2|2	0.00	0.00	0.00	0.00	0.00	-4.93	1.00	0.70	
Cre03.g175800	Cre09.g389689_4532.1.p	Cre09.g389689_4532.1.p	1|3	4	2.00	2	1|1	0.24	0.48	0.24	0.48	0.24	-2.85	2.00	0.50	
Cre03.g175800	Cre17.g723650_4532.5.p	Cre17.g723650_4532.5.p	1|2	3	1.50	2	1|0	0.28	0.57	0.28	0.57	0.28	-1.05	3.00	0.46	
Cre03.g175800	Cre09.g393358_4532.1.p	Cre09.g393358_4532.1.p	1|6	7	3.50	2	4|2	0.03	0.06	0.03	0.06	0.03	-10.26	1.17	0.60	
Cre03.g175800	Cre12.g498900_4532.1.p	Cre12.g498900_4532.1.p	2|2	4	2.00	2	5|0	0.00	0.00	0.00	0.00	0.00	-6.14	0.80	0.70	
Cre03.g175800	Cre01.g028950_4532.1.p	Cre01.g028950_4532.1.p	1|3	4	2.00	2	4|1	0.00	0.01	0.00	0.01	0.00	-8.21	0.80	0.66	
Cre03.g175800	Cre09.g397327_4532.1.p	Cre09.g397327_4532.1.p	2|0	2	1.00	2	0|0	0.48	0.96	0.48	0.96	0.48	-1.22	10.00	0.36	
Cre03.g175800	Cre06.g265450_4532.1.p	Cre06.g265450_4532.1.p	3|5	8	4.00	2	6|3	0.00	0.00	0.00	0.00	0.00	-12.40	0.89	0.68	
Cre03.g175800	Cre08.g372450_4532.1.p	Cre08.g372450_4532.1.p	3|0	3	1.50	2	7|4	0.00	0.00	0.00	0.00	0.00	-23.76	0.27	0.70	
